idx,label
v_Knitting_g20_c02,Knitting
v_PlayingViolin_g10_c04,PlayingViolin
v_PlayingFlute_g11_c03,PlayingFlute
v_JumpingJack_g12_c03,JumpingJack
v_ApplyEyeMakeup_g20_c06,ApplyEyeMakeup
v_MilitaryParade_g18_c03,MilitaryParade
v_TrampolineJumping_g11_c05,TrampolineJumping
v_MilitaryParade_g12_c05,MilitaryParade
v_SkyDiving_g16_c01,SkyDiving
v_SoccerJuggling_g18_c07,SoccerJuggling
v_StillRings_g15_c04,StillRings
v_HorseRace_g16_c03,HorseRace
v_ThrowDiscus_g16_c03,ThrowDiscus
v_SoccerJuggling_g14_c03,SoccerJuggling
v_PlayingSitar_g17_c07,PlayingSitar
v_TennisSwing_g20_c05,TennisSwing
v_PlayingCello_g20_c04,PlayingCello
v_WalkingWithDog_g18_c03,WalkingWithDog
v_PlayingPiano_g19_c03,PlayingPiano
v_RockClimbingIndoor_g08_c04,RockClimbingIndoor
v_SoccerPenalty_g11_c01,SoccerPenalty
v_FloorGymnastics_g22_c03,FloorGymnastics
v_Swing_g20_c03,Swing
v_BalanceBeam_g09_c01,BalanceBeam
v_Hammering_g17_c06,Hammering
v_PizzaTossing_g25_c03,PizzaTossing
v_JugglingBalls_g25_c01,JugglingBalls
v_PlayingCello_g22_c03,PlayingCello
v_PlayingCello_g22_c02,PlayingCello
v_YoYo_g17_c04,YoYo
v_CuttingInKitchen_g24_c02,CuttingInKitchen
v_CuttingInKitchen_g12_c04,CuttingInKitchen
v_HandStandPushups_g13_c04,HandStandPushups
v_Skijet_g22_c04,Skijet
v_PlayingCello_g19_c07,PlayingCello
v_HeadMassage_g17_c04,HeadMassage
v_BandMarching_g20_c04,BandMarching
v_SkateBoarding_g23_c04,SkateBoarding
v_Basketball_g13_c02,Basketball
v_Biking_g19_c02,Biking
v_ThrowDiscus_g09_c06,ThrowDiscus
v_Nunchucks_g18_c03,Nunchucks
v_Shotput_g10_c06,Shotput
v_Skijet_g13_c03,Skijet
v_CliffDiving_g18_c01,CliffDiving
v_CliffDiving_g10_c07,CliffDiving
v_TennisSwing_g21_c03,TennisSwing
v_SkateBoarding_g12_c03,SkateBoarding
v_BalanceBeam_g25_c01,BalanceBeam
v_FrisbeeCatch_g16_c03,FrisbeeCatch
v_JavelinThrow_g17_c02,JavelinThrow
v_PizzaTossing_g15_c01,PizzaTossing
v_Basketball_g19_c01,Basketball
v_BenchPress_g12_c01,BenchPress
v_ApplyEyeMakeup_g19_c03,ApplyEyeMakeup
v_IceDancing_g08_c02,IceDancing
v_HulaHoop_g14_c04,HulaHoop
v_JumpingJack_g21_c04,JumpingJack
v_Typing_g22_c02,Typing
v_BasketballDunk_g18_c02,BasketballDunk
v_BandMarching_g23_c04,BandMarching
v_WalkingWithDog_g13_c02,WalkingWithDog
v_PlayingPiano_g18_c03,PlayingPiano
v_PoleVault_g14_c03,PoleVault
v_Billiards_g23_c04,Billiards
v_PlayingDhol_g23_c03,PlayingDhol
v_Billiards_g22_c04,Billiards
v_ParallelBars_g22_c03,ParallelBars
v_HorseRiding_g08_c02,HorseRiding
v_PizzaTossing_g19_c04,PizzaTossing
v_BandMarching_g21_c02,BandMarching
v_IceDancing_g24_c07,IceDancing
v_TableTennisShot_g22_c03,TableTennisShot
v_JavelinThrow_g20_c01,JavelinThrow
v_BaseballPitch_g18_c04,BaseballPitch
v_HorseRiding_g20_c02,HorseRiding
v_Kayaking_g09_c03,Kayaking
v_HorseRace_g08_c04,HorseRace
v_PommelHorse_g12_c01,PommelHorse
v_BlowingCandles_g13_c04,BlowingCandles
v_Hammering_g18_c05,Hammering
v_RockClimbingIndoor_g14_c04,RockClimbingIndoor
v_Biking_g11_c05,Biking
v_JumpingJack_g19_c04,JumpingJack
v_SkyDiving_g10_c04,SkyDiving
v_BoxingSpeedBag_g20_c03,BoxingSpeedBag
v_Drumming_g11_c05,Drumming
v_Archery_g09_c03,Archery
v_JugglingBalls_g22_c06,JugglingBalls
v_ParallelBars_g23_c04,ParallelBars
v_CricketShot_g22_c06,CricketShot
v_Rafting_g21_c02,Rafting
v_Skiing_g11_c04,Skiing
v_HeadMassage_g15_c02,HeadMassage
v_WalkingWithDog_g19_c05,WalkingWithDog
v_PoleVault_g17_c05,PoleVault
v_Basketball_g22_c01,Basketball
v_RopeClimbing_g15_c01,RopeClimbing
v_ApplyLipstick_g22_c07,ApplyLipstick
v_UnevenBars_g16_c03,UnevenBars
v_LongJump_g10_c03,LongJump
v_BreastStroke_g18_c03,BreastStroke
v_FieldHockeyPenalty_g17_c03,FieldHockeyPenalty
v_HorseRace_g08_c02,HorseRace
v_SkyDiving_g20_c05,SkyDiving
v_UnevenBars_g08_c01,UnevenBars
v_Archery_g09_c05,Archery
v_UnevenBars_g23_c01,UnevenBars
v_FieldHockeyPenalty_g13_c01,FieldHockeyPenalty
v_SoccerJuggling_g16_c07,SoccerJuggling
v_HeadMassage_g18_c04,HeadMassage
v_LongJump_g16_c02,LongJump
v_BenchPress_g09_c07,BenchPress
v_JugglingBalls_g11_c05,JugglingBalls
v_MilitaryParade_g24_c04,MilitaryParade
v_Knitting_g23_c04,Knitting
v_HighJump_g24_c05,HighJump
v_SumoWrestling_g11_c04,SumoWrestling
v_BodyWeightSquats_g10_c04,BodyWeightSquats
v_Typing_g20_c04,Typing
v_CricketShot_g12_c02,CricketShot
v_JumpRope_g11_c05,JumpRope
v_Biking_g10_c06,Biking
v_HammerThrow_g14_c04,HammerThrow
v_PlayingSitar_g10_c03,PlayingSitar
v_PlayingDhol_g19_c07,PlayingDhol
v_SoccerPenalty_g22_c02,SoccerPenalty
v_ParallelBars_g24_c03,ParallelBars
v_BaseballPitch_g19_c02,BaseballPitch
v_PlayingTabla_g15_c02,PlayingTabla
v_TennisSwing_g16_c03,TennisSwing
v_VolleyballSpiking_g24_c04,VolleyballSpiking
v_PizzaTossing_g10_c01,PizzaTossing
v_Haircut_g13_c02,Haircut
v_RockClimbingIndoor_g12_c04,RockClimbingIndoor
v_HeadMassage_g14_c03,HeadMassage
v_RopeClimbing_g10_c02,RopeClimbing
v_Surfing_g14_c03,Surfing
v_WalkingWithDog_g15_c01,WalkingWithDog
v_PlayingGuitar_g09_c03,PlayingGuitar
v_PlayingCello_g24_c06,PlayingCello
v_GolfSwing_g15_c01,GolfSwing
v_BenchPress_g14_c06,BenchPress
v_CliffDiving_g21_c01,CliffDiving
v_CuttingInKitchen_g25_c03,CuttingInKitchen
v_IceDancing_g10_c04,IceDancing
v_BaseballPitch_g17_c04,BaseballPitch
v_PlayingCello_g19_c02,PlayingCello
v_CricketBowling_g25_c07,CricketBowling
v_HammerThrow_g08_c05,HammerThrow
v_ThrowDiscus_g18_c04,ThrowDiscus
v_BaseballPitch_g08_c03,BaseballPitch
v_PlayingGuitar_g13_c03,PlayingGuitar
v_PommelHorse_g09_c03,PommelHorse
v_BasketballDunk_g14_c03,BasketballDunk
v_PullUps_g08_c03,PullUps
v_WalkingWithDog_g24_c06,WalkingWithDog
v_PlayingDaf_g18_c05,PlayingDaf
v_Haircut_g08_c05,Haircut
v_VolleyballSpiking_g18_c04,VolleyballSpiking
v_TennisSwing_g18_c03,TennisSwing
v_GolfSwing_g22_c04,GolfSwing
v_HandStandPushups_g18_c07,HandStandPushups
v_Bowling_g23_c04,Bowling
v_SumoWrestling_g08_c05,SumoWrestling
v_PlayingPiano_g20_c02,PlayingPiano
v_ApplyEyeMakeup_g22_c05,ApplyEyeMakeup
v_TennisSwing_g09_c06,TennisSwing
v_HulaHoop_g09_c02,HulaHoop
v_ApplyEyeMakeup_g08_c05,ApplyEyeMakeup
v_Kayaking_g18_c06,Kayaking
v_ParallelBars_g14_c01,ParallelBars
v_TennisSwing_g21_c04,TennisSwing
v_PlayingViolin_g22_c01,PlayingViolin
v_Basketball_g24_c01,Basketball
v_RockClimbingIndoor_g21_c06,RockClimbingIndoor
v_Diving_g23_c02,Diving
v_PlayingDaf_g21_c07,PlayingDaf
v_VolleyballSpiking_g17_c01,VolleyballSpiking
v_ThrowDiscus_g18_c01,ThrowDiscus
v_Drumming_g13_c01,Drumming
v_ApplyLipstick_g15_c02,ApplyLipstick
v_MilitaryParade_g21_c01,MilitaryParade
v_LongJump_g24_c04,LongJump
v_SalsaSpin_g13_c04,SalsaSpin
v_Hammering_g20_c04,Hammering
v_TrampolineJumping_g21_c01,TrampolineJumping
v_Hammering_g08_c03,Hammering
v_VolleyballSpiking_g12_c03,VolleyballSpiking
v_Biking_g25_c03,Biking
v_ThrowDiscus_g22_c03,ThrowDiscus
v_Nunchucks_g15_c01,Nunchucks
v_SalsaSpin_g18_c02,SalsaSpin
v_Surfing_g16_c03,Surfing
v_Haircut_g18_c04,Haircut
v_SkateBoarding_g16_c04,SkateBoarding
v_HorseRace_g19_c06,HorseRace
v_RopeClimbing_g13_c01,RopeClimbing
v_PlayingDhol_g22_c01,PlayingDhol
v_FrontCrawl_g25_c03,FrontCrawl
v_ShavingBeard_g25_c06,ShavingBeard
v_PlayingSitar_g09_c02,PlayingSitar
v_ShavingBeard_g13_c05,ShavingBeard
v_BoxingSpeedBag_g17_c04,BoxingSpeedBag
v_PoleVault_g24_c07,PoleVault
v_PommelHorse_g25_c04,PommelHorse
v_SkyDiving_g20_c01,SkyDiving
v_TrampolineJumping_g21_c03,TrampolineJumping
v_VolleyballSpiking_g14_c03,VolleyballSpiking
v_PlayingGuitar_g10_c07,PlayingGuitar
v_PushUps_g19_c04,PushUps
v_Knitting_g16_c02,Knitting
v_HeadMassage_g17_c06,HeadMassage
v_BreastStroke_g21_c02,BreastStroke
v_Billiards_g12_c01,Billiards
v_PlayingDaf_g16_c05,PlayingDaf
v_Knitting_g22_c03,Knitting
v_Drumming_g18_c05,Drumming
v_Kayaking_g24_c06,Kayaking
v_BlowDryHair_g24_c02,BlowDryHair
v_BasketballDunk_g11_c04,BasketballDunk
v_PlayingDaf_g15_c03,PlayingDaf
v_Archery_g25_c07,Archery
v_CricketBowling_g12_c02,CricketBowling
v_Bowling_g20_c01,Bowling
v_Skijet_g11_c01,Skijet
v_BaseballPitch_g09_c06,BaseballPitch
v_Lunges_g13_c03,Lunges
v_SoccerJuggling_g18_c02,SoccerJuggling
v_HulaHoop_g17_c04,HulaHoop
v_Swing_g09_c05,Swing
v_BlowDryHair_g09_c04,BlowDryHair
v_Surfing_g12_c01,Surfing
v_BaseballPitch_g22_c01,BaseballPitch
v_ApplyEyeMakeup_g09_c03,ApplyEyeMakeup
v_Mixing_g08_c05,Mixing
v_SoccerPenalty_g15_c04,SoccerPenalty
v_PlayingSitar_g18_c04,PlayingSitar
v_Diving_g15_c02,Diving
v_Diving_g11_c01,Diving
v_FrisbeeCatch_g09_c03,FrisbeeCatch
v_FieldHockeyPenalty_g10_c05,FieldHockeyPenalty
v_Archery_g19_c03,Archery
v_Diving_g22_c04,Diving
v_CricketShot_g20_c07,CricketShot
v_BrushingTeeth_g23_c03,BrushingTeeth
v_RopeClimbing_g08_c02,RopeClimbing
v_MilitaryParade_g20_c01,MilitaryParade
v_BlowDryHair_g10_c07,BlowDryHair
v_Bowling_g25_c02,Bowling
v_UnevenBars_g17_c03,UnevenBars
v_HandstandWalking_g10_c03,HandstandWalking
v_BenchPress_g22_c01,BenchPress
v_PullUps_g14_c03,PullUps
v_Hammering_g24_c05,Hammering
v_UnevenBars_g21_c01,UnevenBars
v_PlayingPiano_g17_c03,PlayingPiano
v_ThrowDiscus_g23_c03,ThrowDiscus
v_Knitting_g15_c05,Knitting
v_BabyCrawling_g25_c05,BabyCrawling
v_Kayaking_g24_c05,Kayaking
v_Rowing_g13_c06,Rowing
v_LongJump_g08_c04,LongJump
v_JavelinThrow_g10_c03,JavelinThrow
v_JugglingBalls_g12_c03,JugglingBalls
v_TableTennisShot_g18_c04,TableTennisShot
v_CricketBowling_g09_c06,CricketBowling
v_PullUps_g20_c04,PullUps
v_Diving_g21_c05,Diving
v_Skijet_g21_c03,Skijet
v_RopeClimbing_g15_c02,RopeClimbing
v_HorseRiding_g16_c05,HorseRiding
v_PlayingPiano_g16_c03,PlayingPiano
v_ShavingBeard_g24_c01,ShavingBeard
v_BlowDryHair_g18_c02,BlowDryHair
v_Bowling_g18_c03,Bowling
v_YoYo_g13_c05,YoYo
v_BoxingSpeedBag_g14_c01,BoxingSpeedBag
v_JavelinThrow_g14_c01,JavelinThrow
v_StillRings_g17_c01,StillRings
v_RockClimbingIndoor_g21_c07,RockClimbingIndoor
v_HorseRiding_g23_c05,HorseRiding
v_BandMarching_g24_c02,BandMarching
v_CuttingInKitchen_g16_c02,CuttingInKitchen
v_Typing_g11_c01,Typing
v_Haircut_g10_c03,Haircut
v_BenchPress_g12_c06,BenchPress
v_Basketball_g16_c05,Basketball
v_BandMarching_g19_c01,BandMarching
v_HorseRace_g15_c03,HorseRace
v_Rowing_g12_c01,Rowing
v_MilitaryParade_g15_c05,MilitaryParade
v_HammerThrow_g19_c01,HammerThrow
v_BrushingTeeth_g12_c04,BrushingTeeth
v_Mixing_g13_c05,Mixing
v_MilitaryParade_g13_c04,MilitaryParade
v_PlayingDhol_g25_c01,PlayingDhol
v_HandstandWalking_g25_c04,HandstandWalking
v_SoccerJuggling_g11_c06,SoccerJuggling
v_Drumming_g12_c03,Drumming
v_Skijet_g25_c03,Skijet
v_BasketballDunk_g14_c05,BasketballDunk
v_MoppingFloor_g19_c04,MoppingFloor
v_ShavingBeard_g14_c04,ShavingBeard
v_PlayingDaf_g20_c02,PlayingDaf
v_ApplyEyeMakeup_g15_c02,ApplyEyeMakeup
v_Billiards_g23_c02,Billiards
v_Rowing_g10_c02,Rowing
v_WallPushups_g13_c02,WallPushups
v_Drumming_g14_c04,Drumming
v_PlayingViolin_g23_c04,PlayingViolin
v_Punch_g17_c06,Punch
v_FrisbeeCatch_g15_c04,FrisbeeCatch
v_WritingOnBoard_g09_c03,WritingOnBoard
v_CricketBowling_g22_c02,CricketBowling
v_HandstandWalking_g17_c02,HandstandWalking
v_HeadMassage_g23_c03,HeadMassage
v_SoccerPenalty_g20_c02,SoccerPenalty
v_Rowing_g14_c02,Rowing
v_BasketballDunk_g12_c04,BasketballDunk
v_BandMarching_g18_c03,BandMarching
v_PlayingPiano_g17_c06,PlayingPiano
v_PlayingDaf_g23_c04,PlayingDaf
v_BlowingCandles_g12_c02,BlowingCandles
v_BasketballDunk_g15_c04,BasketballDunk
v_BasketballDunk_g16_c04,BasketballDunk
v_FrontCrawl_g12_c01,FrontCrawl
v_WallPushups_g15_c02,WallPushups
v_YoYo_g09_c03,YoYo
v_SkyDiving_g11_c04,SkyDiving
v_Punch_g22_c05,Punch
v_VolleyballSpiking_g16_c02,VolleyballSpiking
v_HandStandPushups_g14_c03,HandStandPushups
v_FloorGymnastics_g24_c02,FloorGymnastics
v_FieldHockeyPenalty_g15_c04,FieldHockeyPenalty
v_PlayingDhol_g22_c06,PlayingDhol
v_Rowing_g13_c04,Rowing
v_PlayingDhol_g09_c02,PlayingDhol
v_PullUps_g09_c01,PullUps
v_BalanceBeam_g16_c01,BalanceBeam
v_PlayingCello_g08_c03,PlayingCello
v_Knitting_g17_c05,Knitting
v_Billiards_g21_c01,Billiards
v_Hammering_g10_c07,Hammering
v_Basketball_g10_c01,Basketball
v_Drumming_g18_c04,Drumming
v_CricketBowling_g16_c06,CricketBowling
v_TableTennisShot_g19_c04,TableTennisShot
v_GolfSwing_g11_c03,GolfSwing
v_ParallelBars_g20_c02,ParallelBars
v_HorseRace_g08_c01,HorseRace
v_WalkingWithDog_g14_c04,WalkingWithDog
v_RopeClimbing_g14_c01,RopeClimbing
v_Skijet_g24_c04,Skijet
v_JavelinThrow_g21_c02,JavelinThrow
v_SoccerJuggling_g09_c05,SoccerJuggling
v_Biking_g24_c03,Biking
v_FloorGymnastics_g18_c02,FloorGymnastics
v_StillRings_g12_c04,StillRings
v_FloorGymnastics_g15_c04,FloorGymnastics
v_HandstandWalking_g12_c02,HandstandWalking
v_HorseRiding_g10_c04,HorseRiding
v_BasketballDunk_g18_c01,BasketballDunk
v_Swing_g21_c03,Swing
v_Archery_g10_c04,Archery
v_BlowingCandles_g19_c04,BlowingCandles
v_FrisbeeCatch_g15_c01,FrisbeeCatch
v_BasketballDunk_g11_c02,BasketballDunk
v_CuttingInKitchen_g18_c02,CuttingInKitchen
v_VolleyballSpiking_g16_c03,VolleyballSpiking
v_PlayingDhol_g14_c02,PlayingDhol
v_CricketShot_g25_c05,CricketShot
v_HorseRiding_g12_c04,HorseRiding
v_FrisbeeCatch_g14_c01,FrisbeeCatch
v_Basketball_g08_c03,Basketball
v_BandMarching_g15_c04,BandMarching
v_HandStandPushups_g22_c03,HandStandPushups
v_Shotput_g24_c03,Shotput
v_Kayaking_g19_c03,Kayaking
v_PoleVault_g17_c07,PoleVault
v_Rafting_g21_c04,Rafting
v_ShavingBeard_g08_c07,ShavingBeard
v_SumoWrestling_g19_c01,SumoWrestling
v_VolleyballSpiking_g18_c01,VolleyballSpiking
v_SoccerPenalty_g16_c01,SoccerPenalty
v_Nunchucks_g14_c04,Nunchucks
v_Swing_g25_c03,Swing
v_BodyWeightSquats_g20_c01,BodyWeightSquats
v_BandMarching_g12_c06,BandMarching
v_PushUps_g21_c02,PushUps
v_Knitting_g23_c02,Knitting
v_Surfing_g18_c03,Surfing
v_BlowingCandles_g11_c04,BlowingCandles
v_HandStandPushups_g11_c05,HandStandPushups
v_WallPushups_g09_c05,WallPushups
v_LongJump_g24_c03,LongJump
v_ShavingBeard_g09_c01,ShavingBeard
v_HammerThrow_g17_c04,HammerThrow
v_StillRings_g12_c03,StillRings
v_RockClimbingIndoor_g20_c05,RockClimbingIndoor
v_PizzaTossing_g18_c04,PizzaTossing
v_SkateBoarding_g12_c06,SkateBoarding
v_JugglingBalls_g08_c02,JugglingBalls
v_Punch_g22_c04,Punch
v_SumoWrestling_g14_c01,SumoWrestling
v_Typing_g11_c04,Typing
v_Surfing_g15_c07,Surfing
v_CleanAndJerk_g14_c02,CleanAndJerk
v_Fencing_g15_c03,Fencing
v_Surfing_g16_c05,Surfing
v_GolfSwing_g25_c02,GolfSwing
v_Surfing_g11_c02,Surfing
v_SkyDiving_g19_c03,SkyDiving
v_Hammering_g09_c04,Hammering
v_CleanAndJerk_g20_c06,CleanAndJerk
v_PlayingFlute_g17_c05,PlayingFlute
v_HorseRace_g13_c05,HorseRace
v_PlayingDaf_g19_c02,PlayingDaf
v_Typing_g09_c05,Typing
v_WalkingWithDog_g19_c04,WalkingWithDog
v_Lunges_g11_c07,Lunges
v_FrisbeeCatch_g24_c03,FrisbeeCatch
v_SkyDiving_g15_c03,SkyDiving
v_YoYo_g23_c05,YoYo
v_PlayingViolin_g12_c01,PlayingViolin
v_Mixing_g25_c04,Mixing
v_BasketballDunk_g13_c02,BasketballDunk
v_BoxingPunchingBag_g23_c03,BoxingPunchingBag
v_StillRings_g14_c04,StillRings
v_TableTennisShot_g14_c04,TableTennisShot
v_Typing_g25_c04,Typing
v_CricketBowling_g25_c06,CricketBowling
v_PizzaTossing_g23_c05,PizzaTossing
v_SkyDiving_g12_c03,SkyDiving
v_HighJump_g11_c04,HighJump
v_WallPushups_g21_c04,WallPushups
v_HandStandPushups_g25_c05,HandStandPushups
v_Mixing_g23_c01,Mixing
v_CricketShot_g25_c04,CricketShot
v_BoxingSpeedBag_g10_c02,BoxingSpeedBag
v_Nunchucks_g21_c02,Nunchucks
v_JugglingBalls_g10_c03,JugglingBalls
v_SoccerJuggling_g17_c06,SoccerJuggling
v_Typing_g09_c02,Typing
v_Nunchucks_g25_c05,Nunchucks
v_HandstandWalking_g20_c01,HandstandWalking
v_HorseRace_g19_c02,HorseRace
v_Diving_g12_c05,Diving
v_HammerThrow_g11_c05,HammerThrow
v_WallPushups_g23_c01,WallPushups
v_Drumming_g15_c01,Drumming
v_SoccerJuggling_g23_c01,SoccerJuggling
v_Shotput_g23_c07,Shotput
v_PlayingGuitar_g17_c06,PlayingGuitar
v_FieldHockeyPenalty_g15_c05,FieldHockeyPenalty
v_Kayaking_g10_c03,Kayaking
v_Hammering_g18_c02,Hammering
v_BodyWeightSquats_g24_c01,BodyWeightSquats
v_UnevenBars_g16_c04,UnevenBars
v_Biking_g16_c04,Biking
v_Nunchucks_g25_c01,Nunchucks
v_Shotput_g23_c01,Shotput
v_RopeClimbing_g10_c01,RopeClimbing
v_CliffDiving_g22_c02,CliffDiving
v_Shotput_g12_c05,Shotput
v_PlayingTabla_g08_c01,PlayingTabla
v_TrampolineJumping_g12_c05,TrampolineJumping
v_Skijet_g18_c04,Skijet
v_Hammering_g11_c01,Hammering
v_PlayingGuitar_g19_c03,PlayingGuitar
v_SalsaSpin_g24_c03,SalsaSpin
v_ApplyLipstick_g22_c05,ApplyLipstick
v_SkateBoarding_g17_c01,SkateBoarding
v_PoleVault_g11_c02,PoleVault
v_Lunges_g10_c05,Lunges
v_Archery_g08_c05,Archery
v_Archery_g16_c05,Archery
v_HorseRiding_g23_c03,HorseRiding
v_PoleVault_g24_c05,PoleVault
v_CliffDiving_g25_c04,CliffDiving
v_HighJump_g15_c01,HighJump
v_WritingOnBoard_g23_c07,WritingOnBoard
v_BenchPress_g08_c02,BenchPress
v_Basketball_g14_c02,Basketball
v_Rafting_g20_c02,Rafting
v_Bowling_g11_c03,Bowling
v_Punch_g11_c05,Punch
v_BlowingCandles_g22_c04,BlowingCandles
v_BandMarching_g18_c06,BandMarching
v_StillRings_g17_c02,StillRings
v_PommelHorse_g14_c02,PommelHorse
v_TrampolineJumping_g19_c01,TrampolineJumping
v_SoccerJuggling_g18_c03,SoccerJuggling
v_FrisbeeCatch_g15_c02,FrisbeeCatch
v_CliffDiving_g23_c01,CliffDiving
v_WallPushups_g25_c04,WallPushups
v_FrisbeeCatch_g08_c03,FrisbeeCatch
v_Nunchucks_g21_c06,Nunchucks
v_ShavingBeard_g13_c01,ShavingBeard
v_VolleyballSpiking_g10_c01,VolleyballSpiking
v_PlayingFlute_g23_c01,PlayingFlute
v_Skiing_g08_c07,Skiing
v_PushUps_g17_c02,PushUps
v_CleanAndJerk_g25_c04,CleanAndJerk
v_PlayingTabla_g09_c02,PlayingTabla
v_HeadMassage_g15_c03,HeadMassage
v_HulaHoop_g17_c01,HulaHoop
v_Skiing_g20_c07,Skiing
v_HeadMassage_g18_c06,HeadMassage
v_ShavingBeard_g18_c02,ShavingBeard
v_PlayingPiano_g13_c03,PlayingPiano
v_BlowingCandles_g23_c04,BlowingCandles
v_Mixing_g12_c06,Mixing
v_PommelHorse_g20_c06,PommelHorse
v_SkateBoarding_g17_c04,SkateBoarding
v_CleanAndJerk_g23_c01,CleanAndJerk
v_JumpingJack_g12_c02,JumpingJack
v_MoppingFloor_g10_c01,MoppingFloor
v_CliffDiving_g19_c02,CliffDiving
v_Haircut_g17_c04,Haircut
v_Shotput_g23_c02,Shotput
v_FrisbeeCatch_g20_c06,FrisbeeCatch
v_SumoWrestling_g09_c02,SumoWrestling
v_CliffDiving_g10_c02,CliffDiving
v_Biking_g22_c02,Biking
v_Nunchucks_g17_c07,Nunchucks
v_SoccerJuggling_g21_c01,SoccerJuggling
v_Biking_g16_c03,Biking
v_PlayingSitar_g14_c01,PlayingSitar
v_PlayingSitar_g11_c07,PlayingSitar
v_HeadMassage_g20_c05,HeadMassage
v_StillRings_g15_c03,StillRings
v_PullUps_g17_c02,PullUps
v_PlayingSitar_g25_c01,PlayingSitar
v_HammerThrow_g15_c04,HammerThrow
v_BlowingCandles_g20_c02,BlowingCandles
v_CliffDiving_g17_c02,CliffDiving
v_Swing_g13_c01,Swing
v_LongJump_g16_c03,LongJump
v_Shotput_g16_c01,Shotput
v_HandstandWalking_g09_c01,HandstandWalking
v_BoxingSpeedBag_g20_c05,BoxingSpeedBag
v_HammerThrow_g25_c02,HammerThrow
v_Skiing_g21_c02,Skiing
v_WallPushups_g16_c01,WallPushups
v_PlayingSitar_g14_c06,PlayingSitar
v_TrampolineJumping_g11_c02,TrampolineJumping
v_FrisbeeCatch_g14_c02,FrisbeeCatch
v_SkyDiving_g11_c02,SkyDiving
v_UnevenBars_g13_c01,UnevenBars
v_HorseRiding_g10_c06,HorseRiding
v_SoccerPenalty_g10_c05,SoccerPenalty
v_Mixing_g18_c03,Mixing
v_IceDancing_g21_c04,IceDancing
v_BenchPress_g13_c05,BenchPress
v_StillRings_g17_c03,StillRings
v_BlowingCandles_g11_c03,BlowingCandles
v_CleanAndJerk_g15_c02,CleanAndJerk
v_ShavingBeard_g23_c05,ShavingBeard
v_CricketShot_g15_c01,CricketShot
v_RopeClimbing_g14_c03,RopeClimbing
v_Lunges_g25_c04,Lunges
v_HulaHoop_g16_c02,HulaHoop
v_CuttingInKitchen_g18_c01,CuttingInKitchen
v_BenchPress_g21_c01,BenchPress
v_Skiing_g14_c03,Skiing
v_LongJump_g13_c03,LongJump
v_JugglingBalls_g25_c02,JugglingBalls
v_Diving_g10_c03,Diving
v_PullUps_g14_c02,PullUps
v_PlayingSitar_g23_c06,PlayingSitar
v_Punch_g16_c06,Punch
v_BrushingTeeth_g22_c04,BrushingTeeth
v_SoccerPenalty_g12_c06,SoccerPenalty
v_Rowing_g23_c02,Rowing
v_TennisSwing_g21_c01,TennisSwing
v_Lunges_g20_c01,Lunges
